,,,,,,,,
1,Company Name,HR/Recruiter Designation,How to Reach,LinkedIn Recruiting Page,Careers Page,Company LinkedIn,Location,Tips to Connect
,,,,,,,,
2,,,,,,,,
3,The Startup Bundle,,,,,,,
4,,,,,,,,
5,TCS,Talent Acquisition Team,careers.tcs@tcs.com,https://www.linkedin.com/company/tata-consultancy-services/jobs/,https://www.tcs.com/careers,https://www.linkedin.com/company/tata-consultancy-services/,Whitefield,Apply via TCS NQT portal; follow TCS Careers on LinkedIn
6,Infosys,Campus Recruitment Team,campusconnect@infosys.com,https://www.linkedin.com/company/infosys/jobs/,https://www.infosys.com/careers/,https://www.linkedin.com/company/infosys/,Electronic City,Apply via InfyTQ; connect with Infosys HR on LinkedIn
7,Wipro,Talent Acquisition,careers@wipro.com,https://www.linkedin.com/company/wipro/jobs/,https://careers.wipro.com/,https://www.linkedin.com/company/wipro/,Sarjapur,Apply via Wipro NLTH; follow Wipro Careers page
8,Cognizant,University Recruiting,careers@cognizant.com,https://www.linkedin.com/company/cognizant/jobs/,https://careers.cognizant.com/,https://www.linkedin.com/company/cognizant/,Whitefield,Apply via Cognizant SupremUs portal
9,Accenture,HR / Talent Team,careers@accenture.com,https://www.linkedin.com/company/accenture/jobs/,https://www.accenture.com/in-en/careers,https://www.linkedin.com/company/accenture/,Koramangala,Apply via Accenture Careers; attend virtual hiring events
10,Google India,University Programs,google-india-jobs@google.com,https://www.linkedin.com/company/google/jobs/,https://careers.google.com/,https://www.linkedin.com/company/google/,20119911,Apply directly on careers.google.com; referrals help
11,Microsoft India,University Recruiting,careers@microsoft.com,https://www.linkedin.com/company/microsoft/jobs/,https://careers.microsoft.com/,https://www.linkedin.com/company/microsoft/,Koramangala,Apply on careers.microsoft.com; connect with MS recruiters
12,Amazon India,University Hiring Team,amazoncareers@amazon.com,https://www.linkedin.com/company/amazon/jobs/,https://www.amazon.jobs/en/,https://www.linkedin.com/company/amazon/,Bellandur,Apply via amazon.jobs; practice LeetCode for OA rounds
13,Flipkart,People Team,careers@flipkart.com,https://www.linkedin.com/company/flipkart/jobs/,https://www.flipkartcareers.com/,https://www.linkedin.com/company/flipkart/,Bellandur,Apply via FlipkartCareers; strong DSA prep needed
14,Razorpay,People & Talent,careers@razorpay.com,https://www.linkedin.com/company/razorpay/jobs/,https://razorpay.com/careers/,https://www.linkedin.com/company/razorpay/,Koramangala,Apply on website; connect with Razorpay engineers on LinkedIn
15,CRED,Talent Team,hiring@cred.club,https://www.linkedin.com/company/cred-club/jobs/,https://cred.club/careers,https://www.linkedin.com/company/cred-club/,Koramangala,Limited fresher hiring; strong coding profile needed
